Year,County_FIPS,County,State,Obesity Percentage,Children in Poverty
2018,56039,Teton County,Wyoming,10.5,4.3
2018,8013,Boulder County,Colorado,13.6,6.3
2018,8107,Routt County,Colorado,13.7,6.2
2018,8051,Gunnison County,Colorado,13.8,8.8
2018,8097,Pitkin County,Colorado,14.2,5.2
2018,49043,Summit County,Utah,14.2,4.8
2018,8015,Chaffee County,Colorado,14.4,11.2
2018,35055,Taos County,New Mexico,14.6,26.6
2018,8117,Summit County,Colorado,15.2,6.4
2018,6075,San Francisco County,California,15.4,9.4
2018,13293,Upson County,Georgia,15.4,28
2018,51133,Northumberland County,Virginia,15.6,24.7
2018,6057,Nevada County,California,15.7,11
2018,16013,Blaine County,Idaho,15.7,7.7
2018,8049,Grand County,Colorado,16.2,9
2018,6041,Marin County,California,16.5,5.8
2018,8037,Eagle County,Colorado,16.6,7.2
2018,13319,Wilkinson County,Georgia,16.6,32
2018,17159,Richland County,Illinois,16.7,15.7
2018,6043,Mariposa County,California,17.1,18.5
2018,8091,Ouray County,Colorado,17.1,8
2018,8103,Rio Blanco County,Colorado,17.1,10.9
2018,36061,New York County,New York,17.1,19.3
2018,37033,Caswell County,North Carolina,17.1,24
2018,48275,Knox County,Texas,17.1,24.6
2018,51595,Emporia City,Virginia,17.1,31.8
2018,2195,Petersburg Borough,Alaska,17.2,9.4
2018,8113,San Miguel County,Colorado,17.2,7.9
2018,28055,Issaquena County,Mississippi,17.2,52.6
2018,40059,Harper County,Oklahoma,17.2,15.4
2018,48145,Falls County,Texas,17.2,25.2
2018,17087,Johnson County,Illinois,17.3,16.5
2018,17139,Moultrie County,Illinois,17.3,11.8
2018,46129,Walworth County,South Dakota,17.3,20.9
2018,48335,Mitchell County,Texas,17.3,21.9
2018,48341,Moore County,Texas,17.3,14.8
2018,6087,Santa Cruz County,California,17.4,10.6
2018,8079,Mineral County,Colorado,17.4,15
2018,13307,Webster County,Georgia,17.4,28
2018,51013,Arlington County,Virginia,17.4,6.6
2018,17009,Brown County,Illinois,17.5,11.3
2018,48205,Hartley County,Texas,17.5,9.1
2018,48299,Llano County,Texas,17.5,20.3
2018,48383,Reagan County,Texas,17.5,10.1
2018,13259,Stewart County,Georgia,17.6,31.6
2018,13265,Taliaferro County,Georgia,17.6,33.2
2018,15005,Kalawao County,Hawaii,17.6,No Data
2018,17003,Alexander County,Illinois,17.6,36.5
2018,17145,Perry County,Illinois,17.6,16.5
2018,17155,Putnam County,Illinois,17.6,11.5
2018,41055,Sherman County,Oregon,17.6,17.7
2018,48031,Blanco County,Texas,17.6,14.6
2018,48169,Garza County,Texas,17.6,23.4
2018,48297,Live Oak County,Texas,17.6,23.8
2018,48345,Motley County,Texas,17.6,27.5
2018,49055,Wayne County,Utah,17.6,17.4
2018,17171,Scott County,Illinois,17.7,17.3
2018,22107,Tensas Parish,Louisiana,17.7,51.4
2018,28125,Sharkey County,Mississippi,17.7,45.2
2018,42023,Cameron County,Pennsylvania,17.7,22
2018,46069,Hyde County,South Dakota,17.7,16.3
2018,48043,Brewster County,Texas,17.7,16.6
2018,48191,Hall County,Texas,17.7,36.7
2018,48249,Jim Wells County,Texas,17.7,32.9
2018,48317,Martin County,Texas,17.7,17
2018,48413,Schleicher County,Texas,17.7,19
2018,48443,Terrell County,Texas,17.7,13.2
2018,48507,Zavala County,Texas,17.7,39
2018,8057,Jackson County,Colorado,17.8,16.7
2018,8111,San Juan County,Colorado,17.8,17
2018,17151,Pope County,Illinois,17.8,22.9
2018,48063,Camp County,Texas,17.8,24.8
2018,48111,Dallam County,Texas,17.8,16
2018,48151,Fisher County,Texas,17.8,17.6
2018,48305,Lynn County,Texas,17.8,19.6
2018,48399,Runnels County,Texas,17.8,21.4
2018,48449,Titus County,Texas,17.8,21.4
2018,8047,Gilpin County,Colorado,17.9,7.8
2018,13053,Chattahoochee County,Georgia,17.9,14.7
2018,17017,Cass County,Illinois,17.9,15.5
2018,17079,Jasper County,Illinois,17.9,12.8
2018,42057,Fulton County,Pennsylvania,17.9,14.5
2018,48033,Borden County,Texas,17.9,8.5
2018,48075,Childress County,Texas,17.9,24.1
2018,48089,Colorado County,Texas,17.9,18.4
2018,48097,Cooke County,Texas,17.9,16.1
2018,48193,Hamilton County,Texas,17.9,20.9
2018,48261,Kenedy County,Texas,17.9,13.8
2018,48265,Kerr County,Texas,17.9,16.5
2018,48319,Mason County,Texas,17.9,20.1
2018,48391,Refugio County,Texas,17.9,23.7
2018,48475,Ward County,Texas,17.9,14.4
2018,6091,Sierra County,California,18,13.5
2018,13239,Quitman County,Georgia,18,40.3
2018,17057,Fulton County,Illinois,18,16.5
2018,17059,Gallatin County,Illinois,18,21.1
2018,17125,Mason County,Illinois,18,20
2018,17169,Schuyler County,Illinois,18,14.6
2018,22125,West Feliciana Parish,Louisiana,18,18.7
2018,47135,Perry County,Tennessee,18,24.5
2018,48017,Bailey County,Texas,18,23.3
2018,48035,Bosque County,Texas,18,19.2
2018,48045,Briscoe County,Texas,18,22.8
2018,48047,Brooks County,Texas,18,45
2018,48093,Comanche County,Texas,18,24
2018,48117,Deaf Smith County,Texas,18,22.6
2018,48119,Delta County,Texas,18,21.5
2018,48125,Dickens County,Texas,18,27.7
2018,48131,Duval County,Texas,18,32.1
2018,48153,Floyd County,Texas,18,29.5
2018,48171,Gillespie County,Texas,18,15.2
2018,48173,Glasscock County,Texas,18,9.9
2018,48175,Goliad County,Texas,18,20.8
2018,48219,Hockley County,Texas,18,19.5
2018,48327,Menard County,Texas,18,34.5
2018,48411,San Saba County,Texas,18,26.1
2018,51830,Williamsburg City,Virginia,18,20
2018,6003,Alpine County,California,18.1,24.5
2018,6027,Inyo County,California,18.1,14.6
2018,6063,Plumas County,California,18.1,18.3
2018,8023,Costilla County,Colorado,18.1,32.2
2018,8027,Custer County,Colorado,18.1,23.2
2018,13281,Towns County,Georgia,18.1,19.8
2018,17035,Cumberland County,Illinois,18.1,11.3
2018,20153,Rawlins County,Kansas,18.1,15.8
2018,32009,Esmeralda County,Nevada,18.1,16.4
2018,40057,Harmon County,Oklahoma,18.1,34.7
2018,48011,Armstrong County,Texas,18.1,12.4
2018,48065,Carson County,Texas,18.1,10.7
2018,48095,Concho County,Texas,18.1,20.9
2018,48103,Crane County,Texas,18.1,12.9
2018,48163,Frio County,Texas,18.1,28.8
2018,48229,Hudspeth County,Texas,18.1,33.1
