"STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ETOPO_2022_v1_60s_N90W180_bed"
"01","001","00161526","0500000US01001","01001","Autauga","06",1539602123,25706961,106.268167722023
"01","003","00161527","0500000US01003","01003","Baldwin","06",4117546676,1133055836,28.72577867782
"01","005","00161528","0500000US01005","01005","Barbour","06",2292144655,50538698,114.923515647065
"01","007","00161529","0500000US01007","01007","Bibb","06",1612167481,9602089,124.559049204418
"01","009","00161530","0500000US01009","01009","Blount","06",1670103911,15015423,237.487656588449
"01","011","00161531","0500000US01011","01011","Bullock","06",1613059160,6054988,125.841400104945
"01","013","00161532","0500000US01013","01013","Butler","06",2012002530,2701198,104.269650791839
"01","015","00161533","0500000US01015","01015","Calhoun","06",1569189622,16627597,229.517353254355
"01","017","00161534","0500000US01017","01017","Chambers","06",1545085607,16971701,220.404617708866
"01","019","00161535","0500000US01019","01019","Cherokee","06",1433623321,120308339,225.887038159933
"01","021","00161536","0500000US01021","01021","Chilton","06",1794477075,20592144,159.449898093087
"01","023","00161537","0500000US01023","01023","Choctaw","06",2365869835,19144469,59.2369529620711
"01","025","00161538","0500000US01025","01025","Clarke","06",3207494111,36657891,59.2327633471381
"01","027","00161539","0500000US01027","01027","Clay","06",1564251835,5285207,305.35396169118
"01","029","00161540","0500000US01029","01029","Cleburne","06",1450663940,2354896,322.721772969976
"01","031","00161541","0500000US01031","01031","Coffee","06",1758565925,3907189,94.2982088995762
"01","033","00161542","0500000US01033","01033","Colbert","06",1535202321,79700277,182.882311270271
"01","035","00161543","0500000US01035","01035","Conecuh","06",2202007854,6632046,87.0045885093782
"01","037","00161544","0500000US01037","01037","Coosa","06",1685850815,39987271,192.71742951711
"01","039","00161545","0500000US01039","01039","Covington","06",2669129020,34231390,78.5323585044013
"01","041","00161546","0500000US01041","01041","Crenshaw","06",1576952799,5388561,112.563621838888
"01","043","00161547","0500000US01043","01043","Cullman","06",1903073019,52422496,227.347410625271
"01","045","00161548","0500000US01045","01045","Dale","06",1453244553,4082940,95.8388638829989
"01","047","00161549","0500000US01047","01047","Dallas","06",2534919599,39124778,58.0442233944798
"01","049","00161550","0500000US01049","01049","DeKalb","06",2012676479,4121543,370.52481404851
"01","051","00161551","0500000US01051","01051","Elmore","06",1601769095,99957723,113.825504669399
"01","053","00161552","0500000US01053","01053","Escambia","06",2448115119,20504948,62.7388090259033
"01","055","00161553","0500000US01055","01055","Etowah","06",1386373604,34568854,229.444446116271
"01","057","00161554","0500000US01057","01057","Fayette","06",1625693290,4330881,143.976797199745
"01","059","00161555","0500000US01059","01059","Franklin","06",1641841406,32643981,228.41534333002
"01","061","00161556","0500000US01061","01061","Geneva","06",1487897666,11578163,62.2456487293579
"01","063","00161557","0500000US01063","01063","Greene","06",1675782061,33416141,52.7763770707394
"01","065","00161558","0500000US01065","01065","Hale","06",1667907112,32423361,63.6239351946705
"01","067","00161559","0500000US01067","01067","Henry","06",1454926621,16986823,99.8589549083786
"01","069","00161560","0500000US01069","01069","Houston","06",1501854593,4683050,66.844174000978
"01","071","00161561","0500000US01071","01071","Jackson","06",2791974056,126334709,319.691190901525
"01","073","00161562","0500000US01073","01073","Jefferson","06",2878465205,32885044,176.493179871087
"01","075","00161563","0500000US01075","01075","Lamar","06",1566544637,1600679,117.097883171603
"01","077","00161564","0500000US01077","01077","Lauderdale","06",1730146083,133608930,192.603840694249
"01","079","00161565","0500000US01079","01079","Lawrence","06",1788864247,68682382,208.653755992292
"01","081","00161566","0500000US01081","01081","Lee","06",1573548952,21492291,184.578272315434
"01","083","00161567","0500000US01083","01083","Limestone","06",1450277885,122329729,209.555000331852
"01","085","00161568","0500000US01085","01085","Lowndes","06",1854201378,23721835,77.0377347278445
"01","087","00161569","0500000US01087","01087","Macon","06",1576855717,11345392,103.346596450257
"01","089","00161570","0500000US01089","01089","Madison","06",2076091216,28831382,239.07840702026
