source,feature,source_column
places,places_no_health_insurance_pct,ACCESS2
places,places_copd_pct,COPD
places,places_current_smoking_pct,CSMOKING
places,places_diabetes_pct,DIABETES
places,places_high_blood_pressure_pct,BPHIGH
places,places_lpa_pct,LPA
places,places_obesity_pct,OBESITY
places,places_sleep_lt_7h_pct,SLEEP
places,places_stroke_pct,STROKE
places,places_poor_mental_health_pct,MHLTH
places,places_poor_physical_health_pct,PHLTH
places,places_population,totalpopulation
svi,svi_ep_pov150,ep_pov150
svi,svi_ep_nohsdp,ep_nohsdp
svi,svi_ep_unemp,ep_unemp
svi,svi_ep_uninsur,ep_uninsur
svi,svi_ep_age65,ep_age65
svi,svi_ep_age17,ep_age17
svi,svi_ep_disabl,ep_disabl
svi,svi_ep_sngpnt,ep_sngpnt
svi,svi_ep_limeng,ep_limeng
svi,svi_ep_minrty,ep_minrty
svi,svi_ep_munit,ep_munit
svi,svi_ep_mobile,ep_mobile
svi,svi_ep_crowd,ep_crowd
svi,svi_ep_noveh,ep_noveh
svi,svi_ep_groupq,ep_groupq
svi,svi_rpl_theme1,rpl_theme1
svi,svi_rpl_theme2,rpl_theme2
svi,svi_rpl_theme3,rpl_theme3
svi,svi_rpl_theme4,rpl_theme4
svi,svi_rpl_themes,rpl_themes
rucc,rucc_code_2023,rucc_2023
rucc,rucc_description_2023,description
rucc,rucc_population_2020,population_2020
acs_dp02,acs_dp02_dp02_0001e,dp02_0001e
acs_dp02,acs_dp02_dp02_0001m,dp02_0001m
acs_dp02,acs_dp02_dp02_0001pe,dp02_0001pe
acs_dp02,acs_dp02_dp02_0001pm,dp02_0001pm
acs_dp02,acs_dp02_dp02_0002e,dp02_0002e
acs_dp02,acs_dp02_dp02_0002m,dp02_0002m
acs_dp02,acs_dp02_dp02_0002pe,dp02_0002pe
acs_dp02,acs_dp02_dp02_0002pm,dp02_0002pm
acs_dp02,acs_dp02_dp02_0003e,dp02_0003e
acs_dp02,acs_dp02_dp02_0003m,dp02_0003m
acs_dp02,acs_dp02_dp02_0003pe,dp02_0003pe
acs_dp02,acs_dp02_dp02_0003pm,dp02_0003pm
acs_dp02,acs_dp02_dp02_0004e,dp02_0004e
acs_dp02,acs_dp02_dp02_0004m,dp02_0004m
acs_dp02,acs_dp02_dp02_0004pe,dp02_0004pe
acs_dp02,acs_dp02_dp02_0004pm,dp02_0004pm
acs_dp02,acs_dp02_dp02_0005e,dp02_0005e
acs_dp02,acs_dp02_dp02_0005m,dp02_0005m
acs_dp02,acs_dp02_dp02_0005pe,dp02_0005pe
acs_dp02,acs_dp02_dp02_0005pm,dp02_0005pm
acs_dp02,acs_dp02_dp02_0006e,dp02_0006e
acs_dp02,acs_dp02_dp02_0006m,dp02_0006m
acs_dp02,acs_dp02_dp02_0006pe,dp02_0006pe
acs_dp02,acs_dp02_dp02_0006pm,dp02_0006pm
acs_dp02,acs_dp02_dp02_0007e,dp02_0007e
acs_dp02,acs_dp02_dp02_0007m,dp02_0007m
acs_dp02,acs_dp02_dp02_0007pe,dp02_0007pe
