model_name,analysis_group,event_type,site,treatment_value,predicted_outcome_do_t,delta_vs_mean_treatment
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,-0.0002497608156655,472.4577911587861,13.76785958498356
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.014733264287086031,468.1737992957574,9.48386772195484
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.029716289389837565,463.8898074327287,5.199875858926119
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.04469931449258909,459.6058155697,0.9158839958974009
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.059682339595340625,455.32182370667124,-3.36810786713132
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.07466536469809217,451.0378318436425,-7.652099730160042
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.08964838980084369,446.7538399806138,-11.936091593188761
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.10463141490359523,442.46984811758506,-16.220083456217484
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.11961444000634676,438.18585625455637,-20.504075319246205
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.13459746510909829,433.9018643915276,-24.78806718227492
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.14958049021184983,429.61787252849894,-29.07205904530364
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.16456351531460137,425.3338806654702,-33.356050908332364
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.17954654041735288,421.0498888024415,-37.64004277136108
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.19452956552010442,416.76589693941276,-41.9240346343898
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.20951259062285596,412.481905076384,-46.20802649741852
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.22449561572560747,408.1979132133553,-50.49201836044724
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.239478640828359,403.91392135032663,-54.77601022347596
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.2544616659311105,399.6299294872979,-59.060002086504674
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.26944469103386204,395.34593762426914,-63.34399394953339
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.2844277161366136,391.06194576124045,-67.62798581256212
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.2994107412393651,386.7779538982117,-71.91197767559083
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.31439376634211663,382.493962035183,-76.19596953861955
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.3293767914448682,378.20997017215427,-80.47996140164828
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.3443598165476197,373.9259783091256,-84.763953264677
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0.3593428416503712,369.64198644609684,-89.0479451277057
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,-0.0002497608156655,472.9825856837192,14.292654109916652
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.014733264287086031,468.5352993404775,9.845367766674938
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.029716289389837565,464.08801299723575,5.398081423433222
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.04469931449258909,459.640726653994,0.9507950801915085
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.059682339595340625,455.19344031075235,-3.4964912630502067
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.07466536469809217,450.7461539675106,-7.943777606291924
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.08964838980084369,446.2988676242689,-12.391063949533638
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.10463141490359523,441.85158128102717,-16.838350292775356
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.11961444000634676,437.4042949377855,-21.28563663601707
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.13459746510909829,432.95700859454377,-25.73292297925878
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.14958049021184983,428.50972225130204,-30.1802093225005
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.16456351531460137,424.0624359080603,-34.62749566574222
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.17954654041735288,419.6151495648186,-39.074782008983924
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.19452956552010442,415.1678632215769,-43.522068352225645
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0.20951259062285596,410.7205768783352,-47.96935469546736
