model_name,analysis_group,event_type,site,fold,n_test,outcome_r2,treatment_r2
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,0,205,0.28425366404396857,0.8166806121749455
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,1,205,0.547620066032468,0.8303591630378745
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,2,205,0.48222558860442366,0.8214182484955701
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,3,204,0.4760794071150386,0.8172596711569714
incidence_total_effect,all_cancer,Incidence,All Cancer Sites Combined,4,204,0.5201943003815586,0.7578935948164192
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,0,205,0.2880151818563792,0.8158176684780847
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,1,205,0.5449001301566616,0.8420309802328043
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,2,205,0.48407008145129693,0.8239730086053787
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,3,204,0.46836221924407895,0.8103223724179748
incidence_direct_effect,all_cancer,Incidence,All Cancer Sites Combined,4,204,0.5273345430542216,0.7542608087434254
mortality_total_effect,all_cancer,Mortality,All Cancer Sites Combined,0,243,0.6010249284393403,0.8310750658032227
mortality_total_effect,all_cancer,Mortality,All Cancer Sites Combined,1,242,0.38210896918706505,0.7964014628936351
mortality_total_effect,all_cancer,Mortality,All Cancer Sites Combined,2,242,0.5243258952831114,0.8183494383496448
mortality_total_effect,all_cancer,Mortality,All Cancer Sites Combined,3,242,0.3489304129219627,0.7185452428162549
mortality_total_effect,all_cancer,Mortality,All Cancer Sites Combined,4,242,0.5643897074059137,0.8232412066971827
mortality_direct_effect,all_cancer,Mortality,All Cancer Sites Combined,0,243,0.5920168054740121,0.8300203079355957
mortality_direct_effect,all_cancer,Mortality,All Cancer Sites Combined,1,242,0.3850871366487547,0.7915006234011808
mortality_direct_effect,all_cancer,Mortality,All Cancer Sites Combined,2,242,0.5264266995781749,0.8181286604743815
mortality_direct_effect,all_cancer,Mortality,All Cancer Sites Combined,3,242,0.34841648235790046,0.7312253791096324
mortality_direct_effect,all_cancer,Mortality,All Cancer Sites Combined,4,242,0.5623494970954471,0.8259009650985667
site_incidence__prostate__total_effect,site,Incidence,Prostate,0,197,0.4621398095258984,0.7953145829064294
site_incidence__prostate__total_effect,site,Incidence,Prostate,1,196,0.4580910297848082,0.8376925300874539
site_incidence__prostate__total_effect,site,Incidence,Prostate,2,196,0.45196987029581936,0.8095575634048634
site_incidence__prostate__total_effect,site,Incidence,Prostate,3,196,0.29315205986860593,0.8006170976707593
site_incidence__prostate__total_effect,site,Incidence,Prostate,4,196,0.47108511867018954,0.8399630085010922
site_incidence__prostate__direct_effect,site,Incidence,Prostate,0,197,0.45820500112296136,0.7971282978514888
site_incidence__prostate__direct_effect,site,Incidence,Prostate,1,196,0.4570604346325178,0.841776229381179
site_incidence__prostate__direct_effect,site,Incidence,Prostate,2,196,0.44964514065022165,0.8138366273610254
site_incidence__prostate__direct_effect,site,Incidence,Prostate,3,196,0.29243006528566806,0.8058802432083977
site_incidence__prostate__direct_effect,site,Incidence,Prostate,4,196,0.4724096726744281,0.8420185305366152
site_incidence__lung_and_bronchus__total_effect,site,Incidence,Lung and Bronchus,0,196,0.6449979620721935,0.8098716126033285
site_incidence__lung_and_bronchus__total_effect,site,Incidence,Lung and Bronchus,1,195,0.6957514764278878,0.7757777734571989
site_incidence__lung_and_bronchus__total_effect,site,Incidence,Lung and Bronchus,2,195,0.638130137025797,0.8204640964754487
site_incidence__lung_and_bronchus__total_effect,site,Incidence,Lung and Bronchus,3,195,0.6049949150046501,0.7793838949637288
site_incidence__lung_and_bronchus__total_effect,site,Incidence,Lung and Bronchus,4,195,0.6425609839841231,0.7956772880489215
site_incidence__lung_and_bronchus__direct_effect,site,Incidence,Lung and Bronchus,0,196,0.6447948064640658,0.8140784894313382
site_incidence__lung_and_bronchus__direct_effect,site,Incidence,Lung and Bronchus,1,195,0.6998899299797812,0.7725783084771102
site_incidence__lung_and_bronchus__direct_effect,site,Incidence,Lung and Bronchus,2,195,0.636557568967804,0.825507046828729
site_incidence__lung_and_bronchus__direct_effect,site,Incidence,Lung and Bronchus,3,195,0.5927019465114354,0.7825549672032892
site_incidence__lung_and_bronchus__direct_effect,site,Incidence,Lung and Bronchus,4,195,0.6447295360285096,0.792597955810832
site_incidence__male_and_female_breast__total_effect,site,Incidence,Male and Female Breast,0,195,0.1987559714550743,0.8477251235234367
site_incidence__male_and_female_breast__total_effect,site,Incidence,Male and Female Breast,1,195,0.18041077085972568,0.8273579561126876
site_incidence__male_and_female_breast__total_effect,site,Incidence,Male and Female Breast,2,195,0.10004044068544427,0.7953185891237667
site_incidence__male_and_female_breast__total_effect,site,Incidence,Male and Female Breast,3,195,0.06986227321352156,0.7532145346180361
site_incidence__male_and_female_breast__total_effect,site,Incidence,Male and Female Breast,4,195,0.1493320235914598,0.8209582665588732
site_incidence__male_and_female_breast__direct_effect,site,Incidence,Male and Female Breast,0,195,0.19700371723512378,0.8498156580871091
site_incidence__male_and_female_breast__direct_effect,site,Incidence,Male and Female Breast,1,195,0.18074443214655012,0.8285958120363679
site_incidence__male_and_female_breast__direct_effect,site,Incidence,Male and Female Breast,2,195,0.09195868645853311,0.8022643867236638
site_incidence__male_and_female_breast__direct_effect,site,Incidence,Male and Female Breast,3,195,0.07535005006449114,0.7546946800481809
site_incidence__male_and_female_breast__direct_effect,site,Incidence,Male and Female Breast,4,195,0.1423249475137518,0.8220870328676396
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,0,191,0.4074225057551155,0.7837564026473784
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,1,191,0.27368006331721284,0.7398542794720693
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,2,191,0.32424738198443803,0.7802155632098586
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,3,191,0.4071977879064197,0.8003830134576392
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,4,190,0.48912817458026536,0.8361750272355858
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,0,191,0.4143167466322456,0.7785917141873655
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,1,191,0.2770607085269189,0.7498864440533513
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,2,191,0.3267437648998922,0.7901236677171343
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,3,191,0.4031585925014235,0.8063240331510102
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,4,190,0.4987254984059317,0.8342137768359976
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,0,161,0.42397336045807976,0.8327600558359475
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,1,160,0.40353345651192707,0.824660640283708
